city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,openalex_match_km,openalex_geo_city,openalex_ai_works_recent,openalex_ai_institution_count,openalex_lat,openalex_lon,openalex_match_ok,log_ai_works,ai_works_per_million,log_ai_works_per_million
Abu Dhabi,Abu Dhabi,24.4781,54.3686,United Arab Emirates,AE,ARE,Abū Z̧aby,primary,1000000.0,1784176710,74,1.2862265617254176,99.9357093472159,azure,uaecentral,"Abu Dhabi, UAE Central, Middle East",24.466667,54.366669,14.579134680118136,Abu Dhabi,296,2,24.440338134765625,54.50653648376465,True,5.6937321388027,296.0,5.6937321388027
Canberra,Canberra,-35.2931,149.1269,Australia,AU,AUS,Australian Capital Territory,primary,426704.0,1036142029,60,1.6172022732082179,99.91917256931974,azure,australiacentral,"Canberra, Australia Central, Asia Pacific",-35.3075,149.1244,1.0771679363227398,Canberra,23,1,-35.28346,149.12807,True,3.1780538303479458,53.90153361580862,4.0055412828395
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BD,BGD,Dhaka,primary,15443000.0,1050529279,64,1196.4898149518144,54.97756970542918,azure,jioindiacentral,"Nagpur, Jio India Central, Asia Pacific",21.146633,79.08886,2.4482980796296516,Dhaka,70,2,23.710399627685547,90.40744018554688,True,4.2626798770413155,4.532798031470569,1.7106936607141467
Khulna,Khulna,22.8167,89.55,Bangladesh,BD,BGD,Khulna,admin,1311100.0,1050667339,64,1094.2700460289627,57.86051284007918,azure,jioindiacentral,"Nagpur, Jio India Central, Asia Pacific",21.146633,79.08886,1.6632723484867198,Khulna,56,1,22.809789657592773,89.56439208984375,True,4.04305126783455,42.71222637479978,3.7776278427141925
Gent,Gent,51.0536,3.7253,Belgium,BE,BEL,Flanders,minor,262219.0,1056062897,90,67.69305474892164,96.67198582879156,gcp,europe-west1,"St. Ghislain, Belgium, Europe",50.4477484,3.8195241,0.7240118086013214,Ghent,24,1,51.04999923706055,3.716670036315918,True,3.2188758248682006,91.52654841945092,4.527495613278916
Sofia,Sofia,42.6979,23.3217,Bulgaria,BG,BGR,Sofia-Grad,primary,1355142.0,1100762037,87,1074.178571762411,58.44469369331349,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,0.2048736000156553,Sofia,128,2,42.697509765625,23.32415008544922,True,4.859812404361672,94.45504603945564,4.558655414562316
Varna,Varna,43.2114,27.9111,Bulgaria,BG,BGR,Varna,admin,369162.0,1100789115,87,1126.9923863208746,56.921549361060066,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,2.258482598338404,Varna,13,1,43.22297286987305,27.93400382995605,True,2.6390573296152584,35.214892106988266,3.5894704184074038
Toronto,Toronto,43.7417,-79.3733,Canada,CA,CAN,Ontario,,5429524.0,1124279679,98,9.846628418692964,99.50887854371243,gcp,northamerica-northeast2,"Toronto, Ontario, North America",43.6534817,-79.3839347,7.064349748351475,Toronto,251,2,43.67841794189453,-79.38107506591797,True,5.529429087511423,46.228730179662165,3.8550023976618206
Montréal,Montreal,45.5089,-73.5617,Canada,CA,CAN,Quebec,,3519595.0,1124586170,11,0.8962644039241975,99.95519681942756,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,2.0343861753382715,Montreal,162,1,45.50883865356445,-73.58780670166016,True,5.093750200806762,46.02802311061358,3.8507436604277943
Kelowna,Kelowna,49.8881,-119.4956,Canada,CA,CAN,British Columbia,,142146.0,1124080626,32,296.39579796248,86.22604575900237,azure,westus2,"Washington, West US 2, US",47.233,-119.852,152.3306082740603,Rossland,85,1,49.07619094848633,-117.7970962524414,False,4.454347296253507,597.9767281527443,6.395222746196691
Windsor,Windsor,42.2833,-83.0,Canada,CA,CAN,Ontario,,276165.0,1124261024,26,230.31286693119796,89.12267153177554,aws,us-east-2,US East (Ohio),40.2253569,-82.6881395,2.309149889586845,Windsor,54,1,42.300079345703125,-83.01654052734375,True,4.007333185232471,195.5352778230406,5.2808419461016305
Quebec City,Quebec City,46.8139,-71.2081,Canada,CA,CAN,Quebec,,705103.0,1124823933,68,0.7599340952281205,99.96201051307226,azure,canadaeast,"Quebec, Canada East, Canada",46.817,-71.217,0.5220858133841015,Québec,5,1,46.812278747558594,-71.21453857421875,True,1.791759469228055,7.09116256773833,2.090772425039911
Lausanne,Lausanne,46.5333,6.6333,Switzerland,CH,CHE,Vaud,admin,138905.0,1756055099,72,52.457882398161786,97.41120496975142,azure,switzerlandwest,"Geneva, Switzerland West, Europe",46.204391,6.143158,1.9240253838446995,Lausanne,131,1,46.516,6.63282,True,4.882801922586371,943.0906014902272,6.850222137694986
