geo_city,geo_country_code,ai_works_recent,ai_institution_count,lat,lon
Beijing,CN,3387,18,39.93225090874566,116.38871626559788
Singapore,SG,1072,4,1.2932082461929322,103.8337779046631
Shenzhen,CN,978,2,22.545539927978517,114.06829916992187
Pittsburgh,US,965,1,40.44062,-79.99589
Seattle,US,844,4,47.61026984619141,-122.33322921569824
Mountain View,US,841,1,37.38605,-122.08385
Tokyo,JP,778,14,35.68496521214077,139.70835648297992
Barcelona,ES,680,4,41.38879003265381,2.158989976577759
Edinburgh,GB,673,1,55.95206,-3.19648
Toulouse,FR,623,5,43.60426,1.44367
Moscow,RU,605,7,55.712449754987446,37.575731004987446
Amsterdam,NL,602,4,52.37403053344727,4.889689961166382
Hangzhou,CN,555,3,30.28853745218913,120.15499532633464
Paris,FR,504,12,48.853341773478185,2.3450223277409874
Hong Kong,HK,493,2,22.27832015625,114.17469012329101
Cambridge,GB,477,3,52.194150034586585,0.12730666579246522
Ürümqi,CN,443,2,43.800960540771484,87.60045623779297
Mexico City,MX,426,3,19.42847,-99.12766
Redmond,US,426,1,47.67399,-122.12151
Prague,CZ,381,3,50.08803979939779,14.420760051574709
Leipzig,DE,374,4,51.33388266113281,12.381465144882203
Ho Chi Minh City,VN,373,2,10.823019981384277,106.62964630126953
Coimbatore,IN,364,1,11.00555,76.96612
Ljubljana,SI,351,3,46.05107919759115,14.505129876098634
Trento,IT,348,2,46.067870546875,11.121080199279785
Grenoble,FR,340,3,45.17869062133789,5.7147899558003745
Amherst Center,US,320,2,42.375370012817385,-72.51924948120117
Saarbrücken,DE,318,2,49.2451990838623,7.027688034210206
Stuttgart,DE,309,1,48.782318115234375,9.177020072937012
Warsaw,PL,299,3,52.23384094238281,20.967379887898762
London,GB,299,4,51.543446709289555,-0.12234240069508552
Abu Dhabi,AE,296,2,24.440338134765625,54.50653648376465
New York,US,275,6,40.73636347127279,-73.99241193115235
Jinan,CN,271,2,36.667497634887695,117.04185485839844
Leioa,ES,268,1,43.32686,-2.98884
Sheffield,GB,254,1,53.38297,-1.4659
Toronto,CA,251,2,43.67841794189453,-79.38107506591797
Potsdam,DE,247,2,52.39886046569824,13.065660238342286
Pune,IN,236,3,18.51956959798177,73.85534778645832
Guangzhou,CN,236,1,23.116670608520508,113.25
Bucharest,RO,233,2,44.432250488281255,26.106260149841308
Berlin,DE,230,3,52.52892614908854,13.39806935160319
Hanoi,VN,226,4,21.028245475769044,105.8263050732422
Taipei,TW,225,5,25.050608444213868,121.56737670898437
Delhi,IN,222,2,28.65195041809082,77.2314905444336
Bordeaux,FR,222,1,44.84044,-0.5805
Waterloo,US,222,1,42.49810791015625,-92.33547973632812
Villetaneuse,FR,220,2,48.95833,2.34167
Kaiserslautern,DE,216,1,49.44300079345703,7.771609783172607
San Mateo,US,214,1,37.55870819091797,-122.3250732421875
California,US,207,1,40.06563186645508,-79.89170837402344
Ramat Gan,IL,207,1,32.08227,34.81065
Bengaluru,IN,206,3,12.970070838928223,77.59455108642578
Tel Aviv,IL,199,1,32.08088,34.78057
Tehran,IR,198,3,35.715599060058594,51.42514419555664
Hohhot,CN,192,1,40.8105583190918,111.6522216796875
Nancy,FR,190,2,48.68439,6.18496
Ikoma,JP,189,1,34.68333053588867,135.6999969482422
Armonk,US,189,1,41.10853958129883,-73.72046661376953
New Delhi,IN,187,4,28.61645213821411,77.20495656127929
Kolkata,IN,180,3,22.562629799804686,88.36303807291667
Dublin,IE,179,1,53.33306121826172,-6.248889923095703
Chandler,US,179,1,33.30616,-111.84125
Budapest,HU,177,6,47.49532538248698,19.047779226175944
Valencia,ES,172,1,39.47391128540039,-0.3796600103378296
Shanghai,CN,170,3,31.202277501424152,121.44099426269531
San Jose,US,168,1,37.330989837646484,-121.89387512207031
Sangāreddi,IN,164,1,17.62477,78.08669
Montreal,CA,162,1,45.50883865356445,-73.58780670166016
Bethesda,US,160,3,39.04576873779297,-77.1559321085612
Sfax,TN,157,1,34.74056,10.76028
Washington D.C.,US,157,5,38.92149353027344,-77.05203399658203
Lisbon,PT,153,2,38.73094938842773,-9.145091383361816
Madrid,ES,150,3,40.416500030517575,-3.7025599826558433
Quzhou,CN,149,1,28.982589721679688,118.86829376220703
Macao,MO,146,1,22.200559616088867,113.54611206054688
Lahore,PK,144,2,31.505290031433105,74.32214736938477
Tartu,EE,143,1,58.380619049072266,26.72509002685547
Bhubaneswar,IN,143,1,20.259199142456055,85.79199981689453
Avignon,FR,142,2,43.948340684814454,4.808919953308106
Wroclaw,PL,141,1,51.099998474121094,17.0333309173584
Patna,IN,138,1,25.594079971313477,85.13562774658203
Mannheim,DE,138,2,49.48651313781738,8.46457052230835
Nomi Shi,JP,134,1,36.43592834472656,136.5445556640625
Jaipur,IN,132,2,26.625505447387695,75.86746215820312
Lausanne,CH,131,1,46.516,6.63282
Ostrava,CZ,128,2,49.834649066162115,18.28203982116699
Sofia,BG,128,2,42.697509765625,23.32415008544922
Hyderabad,IN,126,1,17.38405,78.45636
Galway,IE,125,1,53.2724494934082,-9.050950050354004
Memphis,US,122,1,35.14952850341797,-90.04898071289062
Boulder,US,121,1,40.014991760253906,-105.27055358886719
Tijuana,MX,119,1,32.50270080566406,-117.00370788574219
Copenhagen,DK,113,2,55.676483154296875,12.575909614562988
Reading,GB,107,2,51.448643112182616,-0.9530515007400513
Taoyuan District,TW,106,1,24.96971893310547,121.26747131347656
Kitakyushu,JP,106,1,33.851810455322266,130.850341796875
Mardan,PK,105,1,34.19080352783203,72.03687286376953
Juba,SS,105,1,4.835000038146973,31.600000381469727
Hanover,DE,104,2,52.37052077270508,9.733220050201416
El Paso,US,104,1,31.75872039794922,-106.48693084716797
Niš,RS,104,1,43.32472,21.90333
Bielefeld,DE,101,1,52.03333,8.53333
Brno,CZ,101,1,49.19522,16.60796
Gif-sur-Yvette,FR,98,3,48.683330357259116,2.1333300711568195
Seongnam-si,KR,97,1,37.40243911743164,127.10128021240234
Moratuwa,LK,97,1,6.7729997634887695,79.88159942626953
Menlo Park,US,97,2,37.45383071899414,-122.18218994140625
Tilburg,NL,95,1,51.555511474609375,5.091300010681152
Lyon,FR,94,2,45.74846,4.84671
La Rochelle,FR,94,1,46.16308,-1.15222
Martigny-Combe,CH,93,1,46.07817077636719,7.050990104675293
Istanbul,TR,92,1,41.01383972167969,28.94965934753418
Pátrai,GR,91,1,38.24443817138672,21.734439849853516
A Coruña,ES,87,1,43.3713493347168,-8.395999908447266
Wolverhampton,GB,86,1,52.58546829223633,-2.122960090637207
Cerdanyola del Vallès,ES,85,1,41.4910888671875,2.1407899856567383
Rossland,CA,85,1,49.07619094848633,-117.7970962524414
Genoa,IT,83,1,44.40478,8.94439
Nantes,FR,82,3,47.21382622273763,-1.555849676246643
Douliu,TW,79,1,23.69196128845215,120.53459930419922
Tres Cantos,ES,79,1,40.60102462768555,-3.7155539989471436
Waltham,US,79,1,42.37649154663086,-71.23561096191406
Alicante,ES,78,1,38.34516906738281,-0.48148998618125916
Nanterre,FR,76,1,48.89198,2.20675
