institution_id,institution_name,country_code,geo_city,geo_region,geo_country_code,geo_lat,geo_lon,works_count_total,ai_works_count_recent
I98677209,University of Edinburgh,GB,Edinburgh,Scotland,GB,55.95206,-3.19648,270359,673
I887064364,University of Amsterdam,NL,Amsterdam,North Holland,NL,52.37403,4.88969,229930,489
I172675005,Nanyang Technological University,SG,Singapore,,SG,1.28967,103.85007,187020,766
I91136226,University of Sheffield,GB,Sheffield,England,GB,53.38297,-1.4659,183299,254
I100066346,University of Stuttgart,DE,Stuttgart,,DE,48.782318115234375,9.177020072937012,154925,309
I74973139,Carnegie Mellon University,US,Pittsburgh,Pennsylvania,US,40.44062,-79.99589,153549,965
I21250087,Charles University,CZ,Prague,Prague,CZ,50.08804,14.42076,141065,310
I4210147576,The National Coalition on Black Civic Participation,US,Washington D.C.,District of Columbia,US,38.903377532958984,-77.04072570800781,130981,0
I926574661,Leipzig University,DE,Leipzig,Saxony,DE,51.33962,12.37129,122738,240
I24603500,University of Massachusetts Amherst,US,Amherst Center,Massachusetts,US,42.37537,-72.51925,121222,286
I168719708,City University of Hong Kong,HK,Hong Kong,,HK,22.2783203125,114.17469024658203,110850,464
I83816512,University of Genoa,IT,Genoa,Liguria,IT,44.40478,8.94439,97016,83
I9617848,Universitat Politècnica de Catalunya,ES,Barcelona,Catalonia,ES,41.38879,2.15899,94452,337
I169108374,University of the Basque Country,ES,Leioa,Basque Country,ES,43.32686,-2.98884,92344,268
I153976015,University of Ljubljana,SI,Ljubljana,,SI,46.05107879638672,14.50512981414795,89040,167
I59361560,Instituto Politécnico Nacional,MX,Mexico City,Mexico City,MX,19.42847,-99.12766,81845,194
I1291425158,Google (United States),US,Mountain View,California,US,37.38605,-122.08385,75017,841
I60053951,Universitat Politècnica de València,ES,Valencia,,ES,39.47391128540039,-0.3796600103378296,74948,172
I91712215,Saarland University,DE,Saarbrücken,Saarland,DE,49.23262,7.00982,71302,236
I60158472,Concordia University,CA,Montreal,,CA,45.50883865356445,-73.58780670166016,64579,162
I36788626,California University of Pennsylvania,US,California,,US,40.06563186645508,-79.89170837402344,62435,207
I118501908,National Research University Higher School of Economics,RU,Moscow,,RU,55.761287689208984,37.63307189941406,62189,389
I20121455,Bielefeld University,DE,Bielefeld,North Rhine-Westphalia,DE,52.03333,8.53333,61787,101
I1341412227,IBM (United States),US,Armonk,New York,US,41.10853958129883,-73.72046661376953,61530,189
I108403487,Warsaw University of Technology,PL,Warsaw,,PL,52.22977066040039,21.01177978515625,60643,129
I193223587,University of Trento,IT,Trento,,IT,46.06787109375,11.12108039855957,59033,241
I176453806,University of Potsdam,DE,Potsdam,Brandenburg,DE,52.39886,13.06566,58688,193
I13955877,Bar-Ilan University,IL,Ramat Gan,Tel Aviv,IL,32.08227,34.81065,57734,207
I174878644,University of Patras,GR,Pátrai,,GR,38.24443817138672,21.734439849853516,55078,91
I21449261,Masaryk University,CZ,Brno,South Moravian,CZ,49.19522,16.60796,54953,101
I58610484,Seattle University,US,Seattle,,US,47.60620880126953,-122.33206939697266,54420,124
I11923345,Wrocław University of Science and Technology,PL,Wroclaw,,PL,51.099998474121094,17.0333309173584,50045,141
I170486558,Universitat Pompeu Fabra,ES,Barcelona,Catalonia,ES,41.38879,2.15899,49066,173
I130194489,University of Alicante,ES,Alicante,,ES,38.34516906738281,-0.48148998618125916,48154,78
