scheme,n,k,disconnect_rate,median_components,median_cold_delta
random,100,3,0.95,3.0,0.0
random,100,4,0.8,2.5,0.0
random,100,5,0.65,2.0,0.0
random,100,6,0.5,1.5,0.0
random,100,8,0.2,1.0,0.0
random,100,10,0.1,1.0,0.0
random,100,12,0.05,1.0,0.0
random,100,16,0.0,1.0,0.0
random,100,20,0.0,1.0,0.0
random,100,24,0.0,1.0,0.0
random,100,32,0.0,1.0,0.0
random,100,40,0.0,1.0,0.0
random,200,3,1.0,6.5,0.0
random,200,4,0.9,4.0,0.0
random,200,5,0.75,3.0,0.0
random,200,6,0.7,2.0,0.0
random,200,8,0.6,2.0,0.0
random,200,10,0.25,1.0,0.0
random,200,12,0.2,1.0,0.0
random,200,16,0.1,1.0,0.0
random,200,20,0.05,1.0,0.0
random,200,24,0.0,1.0,0.0
random,200,32,0.0,1.0,0.0
random,200,40,0.0,1.0,0.0
random,319,3,1.0,8.0,0.0
random,319,4,1.0,4.0,0.0
random,319,5,0.75,2.0,0.0
random,319,6,0.6,2.0,0.0
random,319,8,0.45,1.0,0.0
random,319,10,0.25,1.0,0.0
random,319,12,0.1,1.0,0.0
random,319,16,0.1,1.0,0.0
random,319,20,0.05,1.0,0.0
random,319,24,0.0,1.0,0.0
random,319,32,0.0,1.0,0.0
random,319,40,0.0,1.0,0.0
random,500,3,1.0,11.0,0.0
random,500,4,1.0,5.5,0.0
random,500,5,0.85,3.0,0.5
random,500,6,0.7,2.5,0.0
random,500,8,0.5,1.5,0.0
random,500,10,0.4,1.0,0.0
random,500,12,0.3,1.0,0.0
random,500,16,0.2,1.0,0.0
random,500,20,0.05,1.0,0.0
random,500,24,0.0,1.0,0.0
random,500,32,0.0,1.0,0.0
random,500,40,0.0,1.0,0.0
random,1000,3,1.0,19.0,-1.0
random,1000,4,1.0,6.0,0.0
random,1000,5,1.0,3.0,1.0
random,1000,6,0.85,2.0,0.0
random,1000,8,0.7,2.0,0.0
random,1000,10,0.6,2.0,0.0
random,1000,12,0.35,1.0,0.0
random,1000,16,0.2,1.0,0.0
random,1000,20,0.15,1.0,0.0
random,1000,24,0.1,1.0,0.0
random,1000,32,0.05,1.0,0.0
random,1000,40,0.0,1.0,0.0
random,2000,3,1.0,33.0,-7.0
random,2000,4,1.0,11.0,1.5
random,2000,5,0.95,3.0,0.0
random,2000,6,0.75,2.0,0.0
random,2000,8,0.25,1.0,0.0
random,2000,10,0.2,1.0,0.0
random,2000,12,0.2,1.0,0.0
random,2000,16,0.2,1.0,0.0
random,2000,20,0.15,1.0,0.0
random,2000,24,0.1,1.0,0.0
random,2000,32,0.05,1.0,0.0
random,2000,40,0.0,1.0,0.0
random,5000,3,1.0,67.5,-23.0
random,5000,4,1.0,19.0,6.5
random,5000,5,1.0,7.0,7.0
random,5000,6,0.95,4.0,6.5
random,5000,8,0.65,2.0,0.0
random,5000,10,0.25,1.0,0.0
random,5000,12,0.0,1.0,0.0
random,5000,16,0.0,1.0,0.0
random,5000,20,0.0,1.0,0.0
random,5000,24,0.0,1.0,0.0
random,5000,32,0.0,1.0,0.0
random,5000,40,0.0,1.0,0.0
top_by_population,100,3,1.0,2.0,1.0
top_by_population,100,4,1.0,2.0,2.0
top_by_population,100,5,1.0,2.0,1.0
top_by_population,100,6,0.0,1.0,0.0
top_by_population,100,8,0.0,1.0,0.0
top_by_population,100,10,0.0,1.0,0.0
top_by_population,100,12,0.0,1.0,0.0
top_by_population,100,16,0.0,1.0,0.0
top_by_population,100,20,0.0,1.0,0.0
top_by_population,100,24,0.0,1.0,0.0
top_by_population,100,32,0.0,1.0,0.0
top_by_population,100,40,0.0,1.0,0.0
top_by_population,200,3,1.0,3.0,0.0
top_by_population,200,4,1.0,2.0,0.0
top_by_population,200,5,1.0,2.0,0.0
top_by_population,200,6,1.0,2.0,1.0
top_by_population,200,8,0.0,1.0,0.0
top_by_population,200,10,0.0,1.0,0.0
top_by_population,200,12,0.0,1.0,0.0
top_by_population,200,16,0.0,1.0,0.0
top_by_population,200,20,0.0,1.0,0.0
top_by_population,200,24,0.0,1.0,0.0
top_by_population,200,32,0.0,1.0,0.0
top_by_population,200,40,0.0,1.0,0.0
top_by_population,319,3,1.0,4.0,-1.0
top_by_population,319,4,1.0,2.0,0.0
top_by_population,319,5,1.0,2.0,-2.0
top_by_population,319,6,1.0,2.0,-1.0
top_by_population,319,8,1.0,2.0,-1.0
top_by_population,319,10,0.0,1.0,0.0
top_by_population,319,12,0.0,1.0,0.0
top_by_population,319,16,0.0,1.0,0.0
top_by_population,319,20,0.0,1.0,0.0
top_by_population,319,24,0.0,1.0,0.0
top_by_population,319,32,0.0,1.0,0.0
top_by_population,319,40,0.0,1.0,0.0
top_by_population,500,3,1.0,6.0,1.0
top_by_population,500,4,1.0,2.0,-1.0
top_by_population,500,5,1.0,2.0,-3.0
top_by_population,500,6,1.0,2.0,-2.0
top_by_population,500,8,1.0,2.0,2.0
top_by_population,500,10,1.0,2.0,-2.0
top_by_population,500,12,0.0,1.0,0.0
top_by_population,500,16,0.0,1.0,0.0
top_by_population,500,20,0.0,1.0,0.0
top_by_population,500,24,0.0,1.0,0.0
top_by_population,500,32,0.0,1.0,0.0
top_by_population,500,40,0.0,1.0,0.0
top_by_population,1000,3,1.0,15.0,-3.0
top_by_population,1000,4,1.0,7.0,0.0
top_by_population,1000,5,1.0,5.0,-6.0
top_by_population,1000,6,1.0,3.0,-9.0
top_by_population,1000,8,1.0,2.0,2.0
top_by_population,1000,10,1.0,2.0,-4.0
top_by_population,1000,12,0.0,1.0,0.0
top_by_population,1000,16,0.0,1.0,0.0
top_by_population,1000,20,0.0,1.0,0.0
top_by_population,1000,24,0.0,1.0,0.0
top_by_population,1000,32,0.0,1.0,0.0
top_by_population,1000,40,0.0,1.0,0.0
top_by_population,2000,3,1.0,30.0,0.0
top_by_population,2000,4,1.0,7.0,9.0
top_by_population,2000,5,1.0,7.0,-8.0
top_by_population,2000,6,1.0,5.0,-12.0
top_by_population,2000,8,1.0,2.0,-22.0
top_by_population,2000,10,1.0,2.0,-21.0
top_by_population,2000,12,1.0,2.0,-22.0
top_by_population,2000,16,1.0,2.0,-39.0
top_by_population,2000,20,1.0,2.0,-42.0
top_by_population,2000,24,1.0,2.0,-11.0
top_by_population,2000,32,0.0,1.0,0.0
top_by_population,2000,40,0.0,1.0,0.0
top_by_population,5000,3,1.0,49.0,-11.0
top_by_population,5000,4,1.0,14.0,-36.0
top_by_population,5000,5,1.0,5.0,-26.0
top_by_population,5000,6,1.0,4.0,-23.0
top_by_population,5000,8,1.0,3.0,-60.0
top_by_population,5000,10,0.0,1.0,0.0
top_by_population,5000,12,0.0,1.0,0.0
