city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,ai_inst_count,ai_works_recent,geo_city,geo_country_code,top_inst_count,top_inst_ai_works,regions_within_1000,regions_within_1500,providers_within_1000,score_proximity,score_provider_diversity,score_redundancy,score_population,score_institutions,bundle_score,distance_only_score,bundle_gain_vs_distance
Paris,Paris,48.8566,2.3522,France,FR,FRA,Île-de-France,primary,11020000.0,1250015082,20,2.3664441763721618,99.88174776430624,aws,eu-west-3,EU (Paris),48.8588897,2.3200410217200766,12.0,504.0,Paris,FR,12.0,504.0,23,27,3,0.9996133317112182,1.0,0.9797151227215061,0.8116661319803973,0.7819651396893237,93.58472918431714,99.96133317112182,-6.376603986804682
Tokyo,Tokyo,35.6897,139.6922,Japan,JP,JPN,Tōkyō,primary,37977000.0,1392685764,78,6.121869536211257,99.69437451165632,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,14.0,778.0,Tokyo,JP,14.0,778.0,7,10,3,0.9989997089974288,1.0,0.705015029626574,1.0,0.8345684472539507,93.05374051310503,99.89997089974288,-6.846230386637856
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,10979000.0,1826645935,91,0.0169646593542521,99.99915177062977,gcp,europe-west2,"London, England, Europe",51.5073219,-0.1276474,0.0,0.0,London,GB,4.0,299.0,24,29,3,0.9999972280369561,1.0,1.0,0.8110987497571642,0.6779537478172541,92.33567658509453,99.99972280369562,-7.6640462186010865
Beijing,Beijing,39.905,116.3914,China,CN,CHN,Beijing,primary,19433000.0,1156228865,12,0.1357391268713632,99.9932132739651,aws,cn-north-1,China (Beijing),39.906217,116.3912757,18.0,3387.0,Beijing,CN,18.0,3387.0,5,6,3,0.9999778207251064,1.0,0.5721250285404937,0.8980131071964957,1.0,92.05118486505911,99.99778207251065,-7.946597207451532
Barcelona,Barcelona,41.3825,2.1769,Spain,ES,ESP,Catalonia,admin,4588000.0,1724594040,69,272.6553954478621,87.25566508050355,azure,francesouth,"Marseille, France South, Europe",43.8345,2.1972,4.0,680.0,Barcelona,ES,4.0,680.0,11,24,3,0.9554491095807036,1.0,0.9463948908766786,0.6782829598016975,0.7633455718874717,89.03831572171586,95.54491095807036,-6.506595236354499
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18713220.0,1840034016,104,355.10059263408294,83.73188842205795,gcp,us-east4,"Ashburn, Virginia, North America",39.0437192,-77.4874899,0.0,0.0,New York,US,6.0,275.0,13,14,3,0.9419778671011358,1.0,0.7962049529094938,0.8922680529041844,0.6867925616761185,88.3080981963924,94.19778671011359,-5.889688513721197
Toronto,Toronto,43.7417,-79.3733,Canada,CA,CAN,Ontario,,5429524.0,1124279679,98,9.846628418692964,99.50887854371244,gcp,northamerica-northeast2,"Toronto, Ontario, North America",43.6534817,-79.3839347,2.0,251.0,Toronto,CA,2.0,251.0,13,17,3,0.9983910970734315,1.0,0.8498100620328151,0.7039174742933177,0.6331874358773085,87.73936846598889,99.83910970734316,-12.099741241354266
Amsterdam,Amsterdam,52.3667,4.8833,Netherlands,NL,NLD,Noord-Holland,primary,862965.0,1528355309,39,1.133868733382568,99.9433226310231,azure,westeurope,"Netherlands, West Europe, Europe",52.3667,4.9,4.0,602.0,Amsterdam,NL,4.0,602.0,25,29,3,0.9998147300125573,1.0,1.0,0.4239543844970212,0.7506744895020075,87.61202231048773,99.98147300125572,-12.36945069076799
Warsaw,Warsaw,52.2167,21.0333,Poland,PL,POL,Mazowieckie,primary,1790658.0,1616024847,87,2.4809719988275645,99.87602830852975,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,3.0,299.0,Warsaw,PL,3.0,299.0,8,24,3,0.9995946182855777,1.0,0.9463948908766786,0.5350675727602061,0.6663319475824786,87.20070089971355,99.95946182855778,-12.758760928844225
Berlin,Berlin,52.5167,13.3833,Germany,DE,DEU,Berlin,primary,3644826.0,1276451290,70,313.8417953782674,85.47716705579316,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,3.0,230.0,Berlin,DE,3.0,230.0,23,29,3,0.9487194030694834,1.0,1.0,0.6432523260721988,0.6391070597531892,87.18416691016017,94.87194030694835,-7.687773396788174
