city,country,year,ai_works_city_topinst,treated_city,event_year,post_full,rel_year,log1p_ai,year_c
Singapore,SG,2000,18,1,2010.0,0,-10.0,2.9444389791664403,0
Singapore,SG,2001,33,1,2010.0,0,-9.0,3.5263605246161616,1
Singapore,SG,2002,63,1,2010.0,0,-8.0,4.1588830833596715,2
Singapore,SG,2003,74,1,2010.0,0,-7.0,4.31748811353631,3
Singapore,SG,2004,113,1,2010.0,0,-6.0,4.736198448394496,4
Singapore,SG,2005,119,1,2010.0,0,-5.0,4.787491742782046,5
Singapore,SG,2006,125,1,2010.0,0,-4.0,4.836281906951478,6
Singapore,SG,2007,126,1,2010.0,0,-3.0,4.844187086458591,7
Singapore,SG,2008,141,1,2010.0,0,-2.0,4.955827057601261,8
Singapore,SG,2009,117,1,2010.0,0,-1.0,4.770684624465665,9
Singapore,SG,2010,123,1,2010.0,0,0.0,4.820281565605037,10
Singapore,SG,2011,89,1,2010.0,1,1.0,4.499809670330265,11
Singapore,SG,2012,85,1,2010.0,1,2.0,4.454347296253507,12
Singapore,SG,2013,90,1,2010.0,1,3.0,4.51085950651685,13
Singapore,SG,2014,103,1,2010.0,1,4.0,4.6443908991413725,14
Singapore,SG,2015,84,1,2010.0,1,5.0,4.442651256490317,15
Singapore,SG,2016,96,1,2010.0,1,6.0,4.574710978503383,16
Singapore,SG,2017,88,1,2010.0,1,7.0,4.48863636973214,17
Singapore,SG,2018,80,1,2010.0,1,8.0,4.394449154672439,18
Singapore,SG,2019,79,1,2010.0,1,9.0,4.382026634673881,19
Singapore,SG,2020,59,1,2010.0,1,10.0,4.0943445622221,20
Singapore,SG,2021,49,1,2010.0,1,11.0,3.912023005428146,21
Singapore,SG,2022,56,1,2010.0,1,12.0,4.04305126783455,22
Singapore,SG,2023,62,1,2010.0,1,13.0,4.143134726391533,23
Singapore,SG,2024,57,1,2010.0,1,14.0,4.060443010546419,24
Singapore,SG,2025,81,1,2010.0,1,15.0,4.406719247264253,25
Tokyo,JP,2000,89,1,2011.0,0,-11.0,4.499809670330265,0
Tokyo,JP,2001,98,1,2011.0,0,-10.0,4.59511985013459,1
Tokyo,JP,2002,422,1,2011.0,0,-9.0,6.0473721790462776,2
Tokyo,JP,2003,237,1,2011.0,0,-8.0,5.472270673671475,3
Tokyo,JP,2004,183,1,2011.0,0,-7.0,5.214935757608986,4
Tokyo,JP,2005,256,1,2011.0,0,-6.0,5.54907608489522,5
Tokyo,JP,2006,259,1,2011.0,0,-5.0,5.560681631015528,6
Tokyo,JP,2007,223,1,2011.0,0,-4.0,5.4116460518550396,7
Tokyo,JP,2008,292,1,2011.0,0,-3.0,5.680172609017068,8
Tokyo,JP,2009,289,1,2011.0,0,-2.0,5.66988092298052,9
Tokyo,JP,2010,327,1,2011.0,0,-1.0,5.793013608384144,10
Tokyo,JP,2011,305,1,2011.0,0,0.0,5.723585101952381,11
Tokyo,JP,2012,285,1,2011.0,1,1.0,5.655991810819852,12
Tokyo,JP,2013,251,1,2011.0,1,2.0,5.529429087511423,13
Tokyo,JP,2014,285,1,2011.0,1,3.0,5.655991810819852,14
