slug,city,country,event_year,cohort_label,treated_city,n_inst,ids,url
mountain_view_us,Mountain View,US,2009.0,US N. California,1,1,I1291425158,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI1291425158%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
san_mateo_us,San Mateo,US,2009.0,US N. California,1,1,I4210095624,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210095624%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
london_gb,London,GB,2016.0,London,1,4,I4210128584|I4210157240|I185658715|I4210090411,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210128584%7CI4210157240%7CI185658715%7CI4210090411%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
paris_fr,Paris,FR,2017.0,Paris,1,12,I4210147444|I4210161954|I162346809|I4210102957|I4210088322|I4210114212|I4210145724|I4210116870|I4210094590|I4210114522|I4210100316|I35345632,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210147444%7CI4210161954%7CI162346809%7CI4210102957%7CI4210088322%7CI4210114212%7CI4210145724%7CI4210116870%7CI4210094590%7CI4210114522%7CI4210100316%7CI35345632%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
villetaneuse_fr,Villetaneuse,FR,2017.0,Paris,1,2,I4210091279|I4210156583,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210091279%7CI4210156583%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
tokyo_jp,Tokyo,JP,2011.0,Tokyo,1,14,I1314466530|I2251713219|I90023481|I16656306|I204291657|I165522056|I184597095|I148798404|I4210134673|I4210126580|I149481174|I4210122684|I4210158934|I4210145865,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI1314466530%7CI2251713219%7CI90023481%7CI16656306%7CI204291657%7CI165522056%7CI184597095%7CI148798404%7CI4210134673%7CI4210126580%7CI149481174%7CI4210122684%7CI4210158934%7CI4210145865%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
kyoto_jp,Kyoto,JP,2018.0,Osaka,1,2,I39012071|I4210104143,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI39012071%7CI4210104143%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
ikoma_jp,Ikoma,JP,2018.0,Osaka,1,1,I75917431,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI75917431%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
seongnam_si_kr,Seongnam-si,KR,2016.0,Seoul,1,1,I4210107233,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210107233%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
hyderabad_in,Hyderabad,IN,2022.0,Hyderabad,1,1,I64189192,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI64189192%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
