,brazilian,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese
brazilian,0.9999999999999992,0.5024120504914336,0.7102327249109953,0.4033795862705975,0.7112642428913689,0.6543712131304655,0.6341979765124959,0.6602649670298502,0.5424081536385652,0.7083873337746721,0.6626757474833409,0.3949684492336276,0.45161913383934527,0.7330010428181855,0.6646555096907387,0.5948176570553849,0.5672549976098938,0.8044872922351721,0.5992523322663635,0.554922009868844
british,0.5024120504914336,0.9999999999999992,0.5042610046088811,0.23010983723102435,0.4167737066480842,0.8219615499864653,0.395527200238066,0.3462187617390353,0.9140410384167669,0.4995197981604781,0.46432853372262206,0.30777494588023285,0.2340802864035799,0.33019947370895997,0.3607872264788358,0.849865735097747,0.9186178822849767,0.45266094911837096,0.2106489404839868,0.2180614950083964
cajun_creole,0.7102327249109953,0.5042610046088811,0.9999999999999958,0.40904558758074383,0.6500761920354822,0.6654849143526584,0.6153499491166207,0.5298994546329261,0.5732460676448244,0.6831302967092477,0.670505827595553,0.3757573668659096,0.4474285819855231,0.6039137501351123,0.5668077856586754,0.5877555809079078,0.627664423158786,0.7451016454817581,0.43686790034036665,0.44056771195681427
chinese,0.4033795862705975,0.23010983723102435,0.40904558758074383,0.999999999999995,0.7134810210513751,0.31697536899455087,0.32476311679272324,0.3982365746532524,0.26664899950694526,0.34977496833475547,0.5378473331211137,0.8247961900221668,0.8829520603046381,0.35603721693895385,0.35545024883183324,0.2835576781416607,0.2960048550850249,0.39471890306512375,0.676768112215743,0.6812723902155284
filipino,0.7112642428913689,0.4167737066480842,0.6500761920354822,0.7134810210513751,1.0000000000000027,0.546477923183953,0.5221128499872941,0.6134075242847516,0.49402574896513096,0.5878258523944896,0.6918072780975248,0.6441179569689331,0.7362219966265746,0.5767159067571719,0.544693909294555,0.5452989821306534,0.4760650574103649,0.6839922930840692,0.688430019160459,0.7110208341758796
french,0.6543712131304655,0.8219615499864653,0.6654849143526584,0.31697536899455087,0.546477923183953,0.999999999999993,0.649849336296335,0.4503637184596237,0.8110949592357082,0.7682045208580601,0.5530274390682108,0.3464330284012511,0.3368296845692129,0.45882487295520213,0.546866728094976,0.7981459924518083,0.8144166778317798,0.719881443598817,0.34548832095761106,0.3633775416166068
greek,0.6341979765124959,0.395527200238066,0.6153499491166207,0.32476311679272324,0.5221128499872941,0.649849336296335,1.000000000000008,0.49675715101590506,0.4324975019196413,0.7907602907155409,0.4996966849536124,0.3111620183789578,0.37202213946603224,0.5487725561458315,0.6667580619894469,0.5145111988324644,0.4662600954052441,0.7997442558810132,0.3818252143800716,0.3942699239135205
indian,0.6602649670298502,0.3462187617390353,0.5298994546329261,0.3982365746532524,0.6134075242847516,0.4503637184596237,0.49675715101590506,0.9999999999999938,0.39015842643107407,0.48890397463966273,0.5828462925579853,0.40822804948739433,0.42723711448293605,0.6568939884879469,0.7494110525091662,0.42760864807759447,0.3849931323869756,0.6035260102773896,0.5428192553973509,0.5167893604874471
irish,0.5424081536385652,0.9140410384167669,0.5732460676448244,0.26664899950694526,0.49402574896513096,0.8110949592357082,0.4324975019196413,0.39015842643107407,1.0000000000000113,0.5369812944795421,0.5227804824241238,0.3409868778515997,0.29989115370485336,0.3836216981145064,0.4158291323288224,0.8529252741298187,0.8950990895400338,0.5045081622538636,0.25531891856112304,0.28464651567186583
italian,0.7083873337746721,0.4995197981604781,0.6831302967092477,0.34977496833475547,0.5878258523944896,0.7682045208580601,0.7907602907155409,0.48890397463966273,0.5369812944795421,1.0000000000000004,0.5247345067271367,0.3194468389022278,0.39593586706651746,0.5571333922704164,0.6256142067568515,0.5698053018371241,0.5638302992912759,0.8417256052432378,0.4125723001804514,0.40994147833284733
jamaican,0.6626757474833409,0.46432853372262206,0.670505827595553,0.5378473331211137,0.6918072780975248,0.5530274390682108,0.4996966849536124,0.5828462925579853,0.5227804824241238,0.5247345067271367,1.0000000000000027,0.5006177993744835,0.5779341507942158,0.5721536346961507,0.5699589721414958,0.4933158887760379,0.5280438110094762,0.6027870156049311,0.5844479476520883,0.5588808417429322
japanese,0.3949684492336276,0.30777494588023285,0.3757573668659096,0.8247961900221668,0.6441179569689331,0.3464330284012511,0.3111620183789578,0.40822804948739433,0.3409868778515997,0.3194468389022278,0.5006177993744835,0.9999999999999993,0.8120137745560939,0.3462353188493556,0.3523382287987608,0.3632513352017838,0.34283808849860686,0.36665250303352437,0.590012955260322,0.6041326527193923
