cuisine,mapped_place,latitude,longitude,case_role,positive_residual_degree,top20_positive_degree,mean_positive_residual,sum_positive_residual,max_positive_residual,long_distance_positive_degree,long_distance_residual_score,mean_all_residual,n_dyads
russian,Russian Federation,61.524,105.3188,bias_diagnostic,13,6,0.15859853579553626,2.0617809653419714,0.3708586215069269,13,2.0617809653419714,0.051095548317709294,19
southern_us,Southern United States,33.0,-86.0,secondary_iberian_atlantic+bias_diagnostic,7,4,0.2372622667899748,1.6608358675298236,0.4084580654846371,7,1.6608358675298236,0.0478968824063391,19
filipino,Philippines,12.8797,121.774,primary_east_southeast_asia+secondary_iberian_atlantic,17,6,0.13071039336849588,2.2220766872644298,0.2844544754740917,13,1.6295641948581205,0.10975815315910546,19
jamaican,Jamaica,18.1096,-77.2975,secondary_iberian_atlantic,15,4,0.09883772278467705,1.4825658417701557,0.2844544754740917,14,1.4760608945045381,0.0689647736420327,19
french,France,46.2276,2.2137,global_screen_only,11,5,0.14059694050507912,1.5465663455558705,0.329998620066479,7,1.065915048612951,0.05049215515123365,19
british,United Kingdom,55.3781,-3.436,bias_diagnostic,8,3,0.1630355466851057,1.3042843734808456,0.4084580654846371,6,0.9767371246987085,0.00969310738466465,19
spanish,Spain,40.4637,-3.7492,secondary_iberian_atlantic,12,3,0.09976019000142032,1.1971222800170438,0.2188455317369834,8,0.9455426385920462,0.03908693650863071,19
irish,Ireland,53.1424,-7.6921,bias_diagnostic,7,2,0.1596530779550244,1.1175715456851707,0.3406079044863878,5,0.8789079747298367,0.0031072753620135186,19
italian,Italy,41.8719,12.5674,global_screen_only,9,0,0.10522763226044858,0.9470486903440373,0.1385937080551641,7,0.7007354815661444,0.014888575933533151,19
cajun_creole,"Louisiana, United States",30.9843,-91.9623,secondary_iberian_atlantic,9,0,0.05977497635056951,0.5379747871551256,0.1216034488409065,9,0.5379747871551256,-0.01335739232789669,19
brazilian,Brazil,-14.235,-51.9253,secondary_iberian_atlantic,10,1,0.051781949554154036,0.5178194955415404,0.1599582660784456,9,0.5113145482759229,0.013000890066029072,19
moroccan,Morocco,31.7917,-7.0926,global_screen_only,7,0,0.06349423703864253,0.4444596592704977,0.123949517433969,5,0.3963422457912406,-0.016514595925835925,19
mexican,Mexico,23.6345,-102.5528,secondary_iberian_atlantic,9,0,0.04158852226616147,0.37429670039545326,0.1045322380283373,9,0.37429670039545326,-0.02791371510914462,19
indian,India,20.5937,78.9629,global_screen_only,6,0,0.061510905926702227,0.3690654355602134,0.1258578261183244,6,0.3690654355602134,-0.04744786852981441,19
chinese,China,35.8617,104.1954,primary_east_southeast_asia,5,1,0.1279735713010168,0.639867856505084,0.3055783794177046,1,0.0838492816111896,-0.035106158591171555,19
thai,Thailand,15.87,100.9925,primary_east_southeast_asia,4,2,0.1629855008037195,0.651942003214878,0.3585509826279637,2,0.0739030547534329,-0.03713980342876427,19
greek,Greece,39.0742,21.8243,global_screen_only,7,0,0.0120643753456551,0.0844506274195857,0.0238126432065328,5,0.0612079276515344,-0.05553524418128949,19
korean,Republic of Korea,35.9078,127.7669,primary_east_southeast_asia,4,1,0.10309504117893922,0.4123801647157569,0.3055783794177046,1,0.0512188298619446,-0.04335039444586993,19
vietnamese,Viet Nam,14.0583,108.2772,primary_east_southeast_asia,5,2,0.1341051716908578,0.670525858454289,0.3585509826279637,1,0.0303656160231059,-0.03528602160667025,19
japanese,Japan,36.2048,138.2529,primary_east_southeast_asia,1,0,0.0684644628246249,0.0684644628246249,0.0684644628246249,0,0.0,-0.09633310378483663,19
