cuisine_a,cuisine_b,iso3_a,iso3_b,lat_a,lon_a,lat_b,lon_b,distance_km,log_distance_km,cosine_similarity,jaccard_similarity,un_region_a,un_subregion_a,mapped_place_a,un_region_b,un_subregion_b,mapped_place_b,same_un_region,same_un_subregion,pair_id,predicted_cosine_distance_only,residual_cosine,abs_residual_cosine,residual_rank_positive
british,southern_us,GBR,USA,55.3781,-3.436,33.0,-86.0,6598.914937127989,8.79466051103333,0.6628635986251662,0.4726947179946285,Europe,Northern Europe,United Kingdom,Americas,Northern America,Southern United States,False,False,british__southern_us,0.25440553314052905,0.40845806548463715,0.40845806548463715,1
british,russian,GBR,RUS,55.3781,-3.436,61.524,105.3188,5613.82657557845,8.632987865026518,0.6439835433041144,0.5075445816186557,Europe,Northern Europe,United Kingdom,Europe,Eastern Europe,Russian Federation,True,False,british__russian,0.2731249217971875,0.37085862150692694,0.37085862150692694,2
thai,vietnamese,THA,VNM,15.87,100.9925,14.0583,108.2772,807.9944560969926,6.694555197231459,0.8561187857007516,0.6083333333333333,Asia,South-eastern Asia,Thailand,Asia,South-eastern Asia,Viet Nam,True,True,thai__vietnamese,0.4975678030727879,0.3585509826279637,0.3585509826279637,3
irish,russian,IRL,RUS,53.1424,-7.6921,61.524,105.3188,5974.990923006386,8.695337857636446,0.6065135855942391,0.4828060522696011,Europe,Northern Europe,Ireland,Europe,Eastern Europe,Russian Federation,True,False,irish__russian,0.2659056811078513,0.3406079044863878,0.3406079044863878,4
french,russian,FRA,RUS,46.2276,2.2137,61.524,105.3188,6221.144289288262,8.73570913815189,0.591229882160345,0.47052947052947053,Europe,Western Europe,France,Europe,Eastern Europe,Russian Federation,True,False,french__russian,0.26123126209386593,0.32999862006647906,0.32999862006647906,5
irish,southern_us,IRL,USA,53.1424,-7.6921,33.0,-86.0,6390.486007316806,8.762565601962425,0.574845596536991,0.4670280036133695,Europe,Northern Europe,Ireland,Americas,Northern America,Southern United States,False,False,irish__southern_us,0.2581216662752157,0.31672393026177525,0.31672393026177525,6
chinese,korean,CHN,KOR,35.8617,104.1954,35.9078,127.7669,2118.363267321871,7.658399025770728,0.691546801417778,0.5078828828828829,Asia,Eastern Asia,China,Asia,Eastern Asia,Republic of Korea,True,True,chinese__korean,0.3859684220000734,0.3055783794177046,0.3055783794177046,7
french,southern_us,FRA,USA,46.2276,2.2137,33.0,-86.0,7306.55494859727,8.89652716239519,0.5444757170337542,0.6802664446294754,Europe,Western Europe,France,Americas,Northern America,Southern United States,False,False,french__southern_us,0.2426108264595075,0.3018648905742467,0.3018648905742467,8
russian,southern_us,RUS,USA,61.524,105.3188,33.0,-86.0,9454.790386602197,9.15427681126481,0.5124537212269226,0.40754039497307004,Europe,Eastern Europe,Russian Federation,Americas,Northern America,Southern United States,False,False,russian__southern_us,0.21276708991854432,0.29968663130837825,0.29968663130837825,9
filipino,jamaican,PHL,JAM,12.8797,121.774,18.1096,-77.2975,15983.883035476072,9.679336183261215,0.43642717193780506,0.4326145552560647,Asia,South-eastern Asia,Philippines,Americas,Caribbean,Jamaica,False,False,filipino__jamaican,0.15197269646371336,0.2844544754740917,0.2844544754740917,10
filipino,thai,PHL,THA,12.8797,121.774,15.87,100.9925,2261.9564522711976,7.723985404621249,0.5978624197343749,0.46613995485327314,Asia,South-eastern Asia,Philippines,Asia,South-eastern Asia,Thailand,True,True,filipino__thai,0.3783744539008934,0.2194879658334815,0.2194879658334815,11
