cuisine,mapped_place,latitude,longitude,case_role,positive_residual_degree,top20_positive_degree,mean_positive_residual,long_distance_residual_score,mean_all_residual,run4_bridge_index,run4_spatial_role,interpretation_note
filipino,Philippines,12.8797,121.774,primary_east_southeast_asia+secondary_iberian_atlantic,17,6,0.1307103933684958,1.6295641948581203,0.1097581531591054,0.8634439061601886,primary_case_bridge,"filipino has a Run 4 bridge index of 0.863; interpret as residual spatial role, not causal proof."
russian,Russian Federation,61.524,105.3188,bias_diagnostic,13,6,0.1585985357955362,2.0617809653419714,0.0510955483177092,0.8391737452356793,global_residual_bridge,"russian has a Run 4 bridge index of 0.839; interpret as residual spatial role, not causal proof."
southern_us,Southern United States,33.0,-86.0,secondary_iberian_atlantic+bias_diagnostic,7,4,0.2372622667899748,1.6608358675298236,0.0478968824063391,0.6915071370599148,global_residual_bridge,"southern_us has a Run 4 bridge index of 0.692; interpret as residual spatial role, not causal proof."
jamaican,Jamaica,18.1096,-77.2975,secondary_iberian_atlantic,15,4,0.098837722784677,1.476060894504538,0.0689647736420327,0.6858700035473857,global_residual_bridge,"jamaican has a Run 4 bridge index of 0.686; interpret as residual spatial role, not causal proof."
french,France,46.2276,2.2137,global_screen_only,11,5,0.1405969405050791,1.065915048612951,0.0504921551512336,0.6533744480835948,context_bridge_role,"french has a Run 4 bridge index of 0.653; interpret as residual spatial role, not causal proof."
spanish,Spain,40.4637,-3.7492,secondary_iberian_atlantic,12,3,0.0997601900014203,0.9455426385920462,0.0390869365086307,0.5321880696375432,secondary_corridor_or_diagnostic,"spanish has a Run 4 bridge index of 0.532; interpret as residual spatial role, not causal proof."
british,United Kingdom,55.3781,-3.436,bias_diagnostic,8,3,0.1630355466851057,0.9767371246987084,0.0096931073846646,0.5146468502780298,bias_diagnostic_bridge,"british has a Run 4 bridge index of 0.515; interpret as residual spatial role, not causal proof."
irish,Ireland,53.1424,-7.6921,bias_diagnostic,7,2,0.1596530779550244,0.8789079747298367,0.0031072753620135,0.4416658252233041,bias_diagnostic_bridge,"irish has a Run 4 bridge index of 0.442; interpret as residual spatial role, not causal proof."
italian,Italy,41.8719,12.5674,global_screen_only,9,0,0.1052276322604485,0.7007354815661444,0.0148885759335331,0.3296800175039669,context_bridge_role,"italian has a Run 4 bridge index of 0.330; interpret as residual spatial role, not causal proof."
brazilian,Brazil,-14.235,-51.9253,secondary_iberian_atlantic,10,1,0.051781949554154,0.5113145482759229,0.013000890066029,0.3202157145431828,secondary_corridor_or_diagnostic,"brazilian has a Run 4 bridge index of 0.320; interpret as residual spatial role, not causal proof."
thai,Thailand,15.87,100.9925,primary_east_southeast_asia,4,2,0.1629855008037195,0.0739030547534329,-0.0371398034287642,0.30013330362595037,context_bridge_role,"thai has a Run 4 bridge index of 0.300; interpret as residual spatial role, not causal proof."
vietnamese,Viet Nam,14.0583,108.2772,primary_east_southeast_asia,5,2,0.1341051716908578,0.0303656160231059,-0.0352860216066702,0.2867856696212904,context_bridge_role,"vietnamese has a Run 4 bridge index of 0.287; interpret as residual spatial role, not causal proof."
cajun_creole,"Louisiana, United States",30.9843,-91.9623,secondary_iberian_atlantic,9,0,0.0597749763505695,0.5379747871551256,-0.0133573923278966,0.2598192370713054,secondary_corridor_or_diagnostic,"cajun_creole has a Run 4 bridge index of 0.260; interpret as residual spatial role, not causal proof."
chinese,China,35.8617,104.1954,primary_east_southeast_asia,5,1,0.1279735713010168,0.0838492816111896,-0.0351061585911715,0.24494885794723262,context_bridge_role,"chinese has a Run 4 bridge index of 0.245; interpret as residual spatial role, not causal proof."
mexican,Mexico,23.6345,-102.5528,secondary_iberian_atlantic,9,0,0.0415885222661614,0.3742967003954532,-0.0279137151091446,0.22072730876791605,secondary_corridor_or_diagnostic,"mexican has a Run 4 bridge index of 0.221; interpret as residual spatial role, not causal proof."
moroccan,Morocco,31.7917,-7.0926,global_screen_only,7,0,0.0634942370386425,0.3963422457912406,-0.0165145959258359,0.21660154267552756,low_bridge_role,"moroccan has a Run 4 bridge index of 0.217; interpret as residual spatial role, not causal proof."
korean,Republic of Korea,35.9078,127.7669,primary_east_southeast_asia,4,1,0.1030950411789392,0.0512188298619446,-0.0433503944458699,0.20006348909016242,low_bridge_role,"korean has a Run 4 bridge index of 0.200; interpret as residual spatial role, not causal proof."
indian,India,20.5937,78.9629,global_screen_only,6,0,0.0615109059267022,0.3690654355602134,-0.0474478685298144,0.18155968180306095,low_bridge_role,"indian has a Run 4 bridge index of 0.182; interpret as residual spatial role, not causal proof."
greek,Greece,39.0742,21.8243,global_screen_only,7,0,0.0120643753456551,0.0612079276515344,-0.0555352441812894,0.11948340078577502,low_bridge_role,"greek has a Run 4 bridge index of 0.119; interpret as residual spatial role, not causal proof."
japanese,Japan,36.2048,138.2529,primary_east_southeast_asia,1,0,0.0684644628246249,0.0,-0.0963331037848366,0.050089356625183816,low_bridge_role,"japanese has a Run 4 bridge index of 0.050; interpret as residual spatial role, not causal proof."
