path,status,role_in_run2v2,reuse_decision,bytes,blocker_or_note
WORK.md,found,source-of-truth amendment plan,reuse,30349,
docs/run2_prototype_interpretation.md,found,baseline interpretation to revise,reuse,8001,
outputs/distance_baseline_model_summary.md,found,original distance model summary,reuse,6334,
data/processed/cuisine_pair_model_table.csv,found,original dyadic similarity-distance table,reuse,60682,
data/processed/residual_culinary_corridors.csv,found,original residual rankings,reuse,72739,
data/processed/cuisine_ingredient_long.csv,found,raw-to-normalized recipe ingredient spine,reuse,31945275,
data/processed/cuisine_ingredient_matrix.csv,found,original cuisine ingredient matrix,reuse,386856,
data/crosswalks/cuisine_geo_crosswalk.csv,found,coordinates and UN region labels,reuse,2934,
data/crosswalks/ingredient_alias_crosswalk.csv,found,normalization source and universal flags,reuse,494718,
figures/run2_residual_corridor_map.png,found,baseline global visual,reuse,149927,
docs/run3_handoff_plan.md,found,handoff to be updated,reuse,5031,
data/run2_dataset_selection_memo.md,found,supporting prior Run 2 artifact,reuse,4354,
data/run2_data_access_log.md,found,supporting prior Run 2 artifact,reuse,3369,
data/raw/recipe_source_manifest.md,found,supporting prior Run 2 artifact,reuse,976,
figures/run2_cuisine_similarity_heatmap.png,found,supporting prior Run 2 artifact,reuse,124701,
figures/run2_distance_decay_plot.png,found,supporting prior Run 2 artifact,reuse,158728,
figures/run2_overlay_test_figure.png,found,supporting prior Run 2 artifact,reuse,101865,
outputs/overlay_test_summary.md,found,supporting prior Run 2 artifact,reuse,2462,
docs/flavor_chemistry_feasibility_decision.md,found,supporting prior Run 2 artifact,reuse,5228,
